Currency,Price,Market cap,Date,Hour
Jupiter,$0.8787,"$1,186,307,291",08/23/2024,23:13
Tars Protocol,$0.137,"$16,989,470",08/23/2024,23:13
Solana,$153.47,"$71,507,416,965",08/23/2024,23:13
Ethereum,"$2,755.09","$331,471,693,074",08/23/2024,23:13
XRP,$0.6085,"$34,188,245,165",08/23/2024,23:13
Kaspa,$0.1677,"$4,112,696,988",08/23/2024,23:13
Notcoin,$0.01165,"$1,193,328,997",08/23/2024,23:13
Bitcoin,"$64,018.84","$1,263,849,917,255",08/23/2024,23:15
Jupiter,$0.8787,"$1,186,307,291",08/23/2024,23:15
Tars Protocol,$0.1369,"$16,982,922",08/23/2024,23:15
Solana,$153.55,"$71,543,959,535",08/23/2024,23:15
Ethereum,"$2,755.40","$331,555,568,616",08/23/2024,23:15
XRP,$0.6085,"$34,188,245,165",08/23/2024,23:15
Kaspa,$0.1677,"$4,112,696,988",08/23/2024,23:15
Notcoin,$0.01165,"$1,193,328,997",08/23/2024,23:16
